x	Benchmark	"LAN"	"WAN"	WAN/LAN	InputLabel
1	"Count 123"	15025.169	14173.83	0.9433391398126704	"N: 4096"
1	"Histogram"	16675.77	16773.878	1.005883266559805	"N: 4096"
1	"Count 102"	12747.904	13542.757	1.0623516618888877	"N: 4096"
1	"Inner Product"	14348.851	14367.633	1.0013089549818308	"N: 4096"
1	"k-means"	2463.877	2833.483	1.1500099233849743	"len1: 256, len2: 8"
1	"Longest 102"	5430.794	5399.618	0.9942594029528649	"N: 1024"
1	"Private Set Intersection"	222.714	216.233	0.9708998985245652	"SA: 1024, SB: 1024"
1	"Count 10s"	13770.51	14094.367	1.0235181558271989	"N: 4096"
1	"Max. Sum b/w Symbols"	5475.512	5399.442	0.9861072352685923	"N: 1024"
1	"Biometric Distance"	12721.222	12130.338	0.9535513176328501	"D: 4, N: 4096"
1	"Max. Dist. b/w Symbols"	5058.875	5126.381	1.0133440735341357	"N: 1024"
1	"Database Variance"	6924.171	8053.262	1.1630651524926232	"len: 1024"
1	"Minimal Points"	211.577	201.803	0.9538040524253582	"N: 1024"
