x	Benchmark	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Count 123"	36083.0	24455.0	34423.0	16632.0	1.4754855857697813	2.0696849446849446
2	"Histogram"	68244.0	16501.0	52988.0	12977.0	4.135749348524332	4.083224165831856
3	"Count 102"	35210.0	24329.0	33241.0	16320.0	1.4472440297587241	2.0368259803921567
4	"Inner Product"	109249.0	12185.0	134664.0	6706.0	8.965859663520723	20.08112138383537
5	"Longest 102"	51703	40895	50389	33714	1.2642865876023963	1.4946016491665184
6	"Count 10s"	36030.0	24861.0	33172.0	16621.0	1.449257873778207	1.995788460381445
7	"Max. Sum b/w Symbols"	43135.0	39330.0	38431.0	32741.0	1.0967454869056699	1.1737882166091445
8	"Biometric Distance"	127104.0	2503.0	147380.0	4485.0	50.78066320415501	32.860646599777034
9	"Max. Dist. b/w Symbols"	43612.0	40635.0	38652.0	32542.0	1.073261966285222	1.1877573597197468
10	"Database Variance"	134681.0	24576.0	145324.0	13548.0	5.480183919270833	10.72660171242988
11	"Minimal Points"	127314.0	586.0	106710.0	1304.0	217.259385665529	81.83282208588957
