x	Benchmark	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Count 123"	149721.466	143754.426	14689.466	11601.903	1.0415085654475777	1.2661255657800277
2	"Histogram"	147933.549	72721.726	27420.292	7300.136	2.0342414452594264	3.7561344062631163
3	"Count 102"	154387.857	145125.893	14966.15	11047.949	1.0638202033320132	1.354654153454184
4	"Inner Product"	135931.317	18300.093	79457.485	5091.578	7.427903071312261	15.605669794315238
5	"Longest 102"	188060.82	248315.786	25666.414	24577.813	0.757345406948876	1.044292020612249
6	"Count 10s"	153917.088	145105.098	14707.875	11038.846	1.0607283280977489	1.3323743260844476
7	"Max. Sum b/w Symbols"	165821.193	243190.365	23209.835	24445.582	0.6818575768822092	0.9494490660930062
8	"Biometric Distance"	174435.797	13830.673	89430.439	2401.015	12.61224215191842	37.24693056894689
9	"Max. Dist. b/w Symbols"	165217.763	242169.823	22991.253	24044.373	0.6822392689282347	0.9562009789151084
10	"Database Variance"	178721.452	40707.4	92891.484	10268.251	4.390392213700703	9.046475782487201
11	"Minimal Points"	150102.667	469.271	95425.291	458.258	319.86350530929883	208.23486114808688
