x	Benchmark	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Count 123"	5440.555	3659.989	64205.943	27562.525	1.4864949047661074	2.3294652068342794
2	"Histogram"	10919.179	1841.034	90531.153	14091.884	5.931003446975993	6.424347021306732
3	"Count 102"	4724.444	3703.936	60939.01	27169.678	1.2755198793931646	2.2429051238663926
4	"Inner Product"	15837.371	1836.389	249369.738	10428.917	8.624191824281239	23.911374306651403
5	"Longest 102"	6958.092	5430.794	90409.342	57643.52	1.2812292272547992	1.5684216022893815
6	"Count 10s"	5021.708	3466.934	59674.149	27531.321	1.448457916995247	2.1675003898287337
7	"Max. Sum b/w Symbols"	5542.305	5475.512	68275.094	56176.66	1.0121984939490591	1.2153640675682746
8	"Biometric Distance"	16466.202	342.415	263197.123	5546.163	48.08843654629616	47.455713616783356
9	"Max. Dist. b/w Symbols"	6215.258	5058.875	67059.418	56839.219	1.2285850114897086	1.1798089273534882
10	"Database Variance"	18413.553	3388.773	264158.365	21322.07	5.433693257116956	12.388964345394232
11	"Minimal Points"	19041.267	24.282	176994.896	454.61	784.1721027921917	389.33348584501
