x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	3921.0	376.0	4567.0	438.0	10.428191489361701	10.426940639269406
2	"N: 8"	7883.0	448.0	9119.0	569.0	17.595982142857142	16.026362038664324
3	"N: 16"	15585.0	578.0	18031.0	847.0	26.963667820069205	21.288075560802834
4	"N: 32"	31568.0	854.0	35826.0	1345.0	36.96487119437939	26.6364312267658
5	"N: 64"	64994.0	1393.0	72802.0	2396.0	46.6575735821967	30.384808013355592
6	"N: 128"	127104.0	2503.0	147380.0	4485.0	50.78066320415501	32.860646599777034
7	"N: 256"	0	4633.0	0	8667.0	0.0	0.0
8	"N: 512"	0	8933.0	0	16873.0	0.0	0.0
9	"N: 1024"	0	17841.0	0	33625.0	0.0	0.0
10	"N: 4096"	0	70272.0	0	133974.0	0.0	0.0
