x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	5266.637	1358.085	2721.542	377.474	3.8779877548165245	7.20987935592915
2	"N: 8"	11243.09	1996.472	5439.472	343.208	5.631478928830457	15.848907950863614
3	"N: 16"	21571.048	2823.387	11216.036	506.212	7.640131515799994	22.156795966907147
4	"N: 32"	42559.834	4216.744	21980.818	756.917	10.09305615897005	29.039931723029074
5	"N: 64"	87178.869	8155.008	44606.977	1305.975	10.690224828718746	34.15607266601582
6	"N: 128"	174435.797	13830.673	89430.439	2401.015	12.61224215191842	37.24693056894689
7	"N: 256"	0	26698.351	0	4555.922	0.0	0.0
8	"N: 512"	0	52379.868	0	9504.452	0.0	0.0
9	"N: 1024"	0	105739.681	0	17243.54	0.0	0.0
10	"N: 4096"	0	415216.123	0	78347.444	0.0	0.0
