x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	548.225	73.375	7840.233	730.307	7.471550255536627	10.735530400228944
2	"N: 8"	1079.316	68.201	15898.128	883.077	15.825515754900957	18.003105051994336
3	"N: 16"	2102.963	94.184	33073.396	1220.494	22.328240465471843	27.09836836559623
4	"N: 32"	4300.18	137.316	65002.259	1833.129	31.315942788895686	35.4597297844287
5	"N: 64"	8301.772	158.798	131065.188	2936.15	52.27881963248908	44.63845103281508
6	"N: 128"	16466.202	342.415	263197.123	5546.163	48.08843654629616	47.455713616783356
7	"N: 256"	0	720.249	0	11060.938	0.0	0.0
8	"N: 512"	0	1557.092	0	19686.386	0.0	0.0
9	"N: 1024"	0	2114.402	0	44232.663	0.0	0.0
10	"N: 4096"	0	12721.222	0	155792.569	0.0	0.0
