x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	58602	5469	51466	4492	10.715304443225453	11.457257346393588
2	"N: 8"	117194	6389	102922	5316	18.343089685396777	19.360797592174567
3	"N: 16"	234378	8229	205834	6964	28.481954064892452	29.55686387133831
4	"N: 32"	468746	11909	411658	10260	39.360651608027545	40.12261208576998
5	"N: 64"	937482	19269	823306	16852	48.65234314183403	48.85509138381201
6	"N: 128"	1874954	33989	1646602	30036	55.16355291417812	54.82094819549874
7	"N: 256"	0	63429	0	56404	0.0	0.0
8	"N: 512"	0	122309	0	109140	0.0	0.0
9	"N: 1024"	0	240069	0	214612	0.0	0.0
10	"N: 4096"	0	946629	0	847444	0.0	0.0
