x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	861.0	285.0	1066.0	301.0	3.0210526315789474	3.5415282392026577
2	"N: 8"	1750.0	376.0	2098.0	349.0	4.654255319148936	6.011461318051576
3	"N: 16"	3435.0	557.0	4226.0	462.0	6.166965888689408	9.147186147186147
4	"N: 32"	6908.0	945.0	8412.0	649.0	7.31005291005291	12.961479198767334
5	"N: 64"	13987.0	1696.0	16732.0	1051.0	8.247051886792454	15.920076117982873
6	"N: 128"	27934.0	3246.0	33515.0	1870.0	8.605668515095502	17.922459893048128
7	"N: 256"	55639.0	6313.0	67113.0	3473.0	8.81340091873911	19.32421537575583
8	"N: 512"	109249.0	12185.0	134664.0	6706.0	8.965859663520723	20.08112138383537
9	"N: 1024"	0	24492.0	0	13135.0	0.0	0.0
10	"N: 4096"	0	96632.0	0	51852.0	0.0	0.0
