x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	1.05	0.436	2.387	1.364	2.408256880733945	1.7499999999999998
2	"N: 8"	2.064	0.631	4.738	2.352	3.270998415213946	2.0144557823129254
3	"N: 16"	4.093	1.022	9.44	4.334	4.004892367906066	2.178126442085833
4	"N: 32"	8.15	1.804	18.844	8.283	4.517738359201774	2.2750211276107692
5	"N: 64"	16.267	3.387	37.652	16.212	4.8027753173900205	2.3224771773994575
6	"N: 128"	32.498	6.534	75.268	32.047	4.973676155494337	2.348675383031173
7	"N: 256"	64.961	12.827	150.499	63.716	5.064395415919544	2.3620283759181366
8	"N: 512"	129.886	25.415	300.962	127.055	5.110603974031084	2.368753689347133
9	"N: 1024"	0	50.59	0	253.733	0.0	0.0
10	"N: 4096"	0	201.641	0	1013.801	0.0	0.0
