x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	1456.659	814.742	650.205	226.631	1.7878776348831902	2.869002916635412
2	"N: 8"	3021.803	862.572	1282.031	281.813	3.503247265155836	4.549225905121482
3	"N: 16"	4743.08	1532.376	2555.165	315.453	3.0952455533106757	8.0999863688093
4	"N: 32"	9224.693	2514.882	4930.199	446.141	3.6680420791114647	11.050764220280135
5	"N: 64"	17439.403	3341.084	10055.788	790.005	5.219684090552647	12.728765007816406
6	"N: 128"	34465.338	4771.167	20705.284	1387.837	7.223670435346321	14.91910361231182
7	"N: 256"	68656.854	9194.942	40066.459	2663.353	7.466806642173492	15.043615697956675
8	"N: 512"	135931.317	18300.093	79457.485	5091.578	7.427903071312261	15.605669794315238
9	"N: 1024"	0	36085.603	0	9851.699	0.0	0.0
10	"N: 4096"	0	139302.399	0	42178.181	0.0	0.0
