x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	136.99	55.985	1978.215	551.53	2.4469054210949364	3.5867767845810743
2	"N: 8"	231.381	48.686	3790.132	618.513	4.752516123731668	6.12781299665488
3	"N: 16"	429.577	78.906	7679.036	880.987	5.444161407244062	8.716401036564672
4	"N: 32"	872.933	149.877	15124.49	1177.755	5.824329283345676	12.84179646870529
5	"N: 64"	1961.365	265.975	30309.129	1678.878	7.374245699783813	18.053205176314183
6	"N: 128"	3958.161	560.994	60633.319	3692.726	7.055620915731719	16.41966368476838
7	"N: 256"	7366.219	1081.964	121944.712	5428.229	6.808192324328721	22.464916642241878
8	"N: 512"	15837.371	1836.389	249369.738	10428.917	8.624191824281239	23.911374306651403
9	"N: 1024"	0	3540.587	0	20910.254	0.0	0.0
10	"N: 4096"	0	14348.851	0	77004.184	0.0	0.0
