x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	13091	4190	11927	3458	3.124343675417661	3.4491035280508964
2	"N: 8"	26179	5406	23851	4086	4.842582315945246	5.837249143416544
3	"N: 16"	52355	7838	47699	5342	6.679637662669048	8.929052789217522
4	"N: 32"	104707	12702	95395	7854	8.243347504330027	12.146040234275528
5	"N: 64"	209411	22430	190787	12878	9.336201515827018	14.814955738468706
6	"N: 128"	418819	41886	381571	22926	9.999021152652437	16.643592427811218
7	"N: 256"	837635	80798	763139	43022	10.36702641154484	17.738343173260194
8	"N: 512"	1675267	158622	1526275	83214	10.561378623393981	18.341565121253634
9	"N: 1024"	0	314270	0	163598	0.0	0.0
10	"N: 4096"	0	1248158	0	645902	0.0	0.0
