x	Benchmark	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Count 123"	35754.0	25239.0	33323.0	16747.0	1.4166171401402592	1.9897892159789814
2	"Histogram"	68451.0	16339.0	51828.0	12928.0	4.189424077360916	4.008972772277228
3	"Count 102"	34705.0	24453.0	33059.0	16107.0	1.4192532613585245	2.052461662631154
4	"Minimal Points"	124894.0	571.0	105438.0	1300.0	218.72854640980736	81.10615384615384
5	"Inner Product"	110166.0	12318.0	132100.0	6622.0	8.943497320993668	19.948655995167623
6	"Count 10s"	35822.0	24986.0	33324.0	16433.0	1.4336828624029456	2.027870747885353
7	"Max. Sum b/w Symbols"	42720.0	39264.0	37728.0	32730.0	1.0880195599022005	1.1527039413382218
8	"Longest 102"	50488.0	39916.0	49845.0	32816.0	1.2648561980158333	1.5189236957581667
9	"Biometric Distance"	126819.0	2491.0	145160.0	4484.0	50.91087916499398	32.3728813559322
10	"Max. Dist. b/w Symbols"	44039.0	40448.0	38257.0	32811.0	1.0887806566455696	1.1659809210325804
11	"Database Variance"	137337.0	24544.0	146207.0	13485.0	5.5955426988265975	10.8421950315165
