x	Benchmark	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Count 123"	52.254	34.482	92.89	60.864	1.5153993387854532	1.5261895373291272
2	"Histogram"	97.373	22.624	135.16	68.007	4.303969236209336	1.9874424691575865
3	"Count 102"	52.05	34.466	92.304	59.988	1.510183949399408	1.5387077415483097
4	"Minimal Points"	146.567	11.77	159.635	63.351	12.452591333899747	2.519849726129027
5	"Inner Product"	129.886	25.415	300.962	127.055	5.110603974031084	2.368753689347133
6	"Count 10s"	52.05	34.466	92.304	60.628	1.510183949399408	1.5224648677178862
7	"Max. Sum b/w Symbols"	57.088	51.288	89.537	79.309	1.1130868819216972	1.1289639259100481
8	"Longest 102"	70.713	52.941	128.796	96.77	1.3356944523148409	1.3309496744858944
9	"Biometric Distance"	148.356	14.257	316.295	131.404	10.405835729816932	2.4070424035798
10	"Max. Dist. b/w Symbols"	57.088	51.288	89.537	79.309	1.1130868819216972	1.1289639259100481
11	"Database Variance"	162.779	43.45	321.217	141.561	3.7463521288837742	2.2691066042200885
