x	Benchmark	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Count 123"	152129.194	144830.393	14561.079	11240.122	1.0503955064183246	1.2954556009267515
2	"Histogram"	115474.497	70393.593	26369.345	7213.154	1.640412032953056	3.655730211776984
3	"Count 102"	151263.172	144755.527	14314.863	10809.375	1.044956107271814	1.3243007111882046
4	"Minimal Points"	150849.471	467.099	94975.53	448.318	322.94967662101607	211.84857623383402
5	"Inner Product"	137810.539	19056.868	80315.299	7707.677	7.23154187771044	10.42016926760164
6	"Count 10s"	152268.21	143392.606	14491.199	11151.74	1.061897222231947	1.2994563180275007
7	"Max. Sum b/w Symbols"	162115.754	243497.658	22841.364	24935.522	0.6657795205570314	0.916017077966124
8	"Longest 102"	185312.263	246946.774	25907.046	24437.189	0.7504137834981396	1.0601483664917435
9	"Biometric Distance"	171363.485	13657.964	88857.028	2346.962	12.546781130774688	37.86044597228247
10	"Max. Dist. b/w Symbols"	165596.939	241595.575	22931.984	24233.874	0.6854303478033487	0.9462780899166184
11	"Database Variance"	180460.339	39659.496	91995.453	10071.556	4.550242872476241	9.134184727762024
