x	Benchmark	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Count 123"	5202.199	3378.923	62375.996	28328.859	1.5396027077266927	2.2018534526928883
2	"Histogram"	9625.352	2716.551	92435.34	13894.309	3.5432252146195675	6.652748258297696
3	"Count 102"	4964.38	3666.69	61157.009	27385.198	1.3539132023705305	2.2332140523504704
4	"Minimal Points"	18667.261	27.16	179312.386	1706.052	687.3071060382915	105.10370492810301
5	"Inner Product"	15189.603	1749.129	243921.649	10679.071	8.684095341166946	22.841092544473206
6	"Count 10s"	5432.604	3442.471	60964.541	27440.177	1.5781117691332767	2.221725501260433
7	"Max. Sum b/w Symbols"	5780.59	5399.442	66534.239	55181.499	1.0705902572895496	1.2057345343228172
8	"Longest 102"	6302.531	5399.618	91719.533	56262.481	1.1672179402320682	1.6302077578128842
9	"Biometric Distance"	15939.874	546.189	259871.57	6103.371	29.183806338099085	42.578366938532824
10	"Max. Dist. b/w Symbols"	6365.605	5126.381	67245.926	56236.055	1.241734666229451	1.1957795759322023
11	"Database Variance"	16821.619	3386.578	264651.169	27983.322	4.967143529545163	9.457460733218165
