x	Benchmark	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Count 123"	422920	318591	274440	170111	1.3274700164160318	1.6132995514693347
2	"Histogram"	862215	166955	491015	92715	5.164355664700069	5.29596073990185
3	"Count 102"	418824	317560	270344	169080	1.3188814712180374	1.5989117577478116
4	"Minimal Points"	1835650	1507	1606530	1455	1218.0822826808228	1104.1443298969073
5	"Inner Product"	1675267	158622	1526275	83214	10.561378623393981	18.341565121253634
6	"Count 10s"	419847	318584	271367	170104	1.3178533761896392	1.5953005220335794
7	"Max. Sum b/w Symbols"	573444	539693	398340	364589	1.062537405524993	1.0925727325838135
8	"Longest 102"	651272	546945	476168	371841	1.1907449560741938	1.2805688452860229
9	"Biometric Distance"	1874954	33989	1646602	30036	55.16355291417812	54.82094819549874
10	"Max. Dist. b/w Symbols"	573445	539694	398341	364590	1.0625372896493197	1.0925724786746758
11	"Database Variance"	2010039	321704	1709225	170613	6.24810073856713	10.018140469952465
