x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	3917.0	377.0	4495.0	442.0	10.389920424403183	10.169683257918551
2	"N: 8"	7879.0	443.0	8951.0	582.0	17.785553047404065	15.379725085910653
3	"N: 16"	15769.0	586.0	17879.0	837.0	26.909556313993175	21.360812425328554
4	"N: 32"	31825.0	847.0	35759.0	1357.0	37.57378984651712	26.3515106853353
5	"N: 64"	63461.0	1371.0	72285.0	2402.0	46.288110867979576	30.09367194004996
6	"N: 128"	126819.0	2491.0	145160.0	4484.0	50.91087916499398	32.3728813559322
7	"N: 256"	0	4690.0	0	8584.0	0.0	0.0
8	"N: 512"	0	8986.0	0	17138.0	0.0	0.0
9	"N: 1024"	0	18035.0	0	33610.0	0.0	0.0
10	"N: 4096"	0	69709.0	0	132045.0	0.0	0.0
