x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	4.671	0.814	9.924	4.528	5.738329238329239	2.191696113074205
2	"N: 8"	9.305	1.242	19.807	8.61	7.49194847020934	2.300464576074332
3	"N: 16"	18.576	2.118	39.572	16.808	8.770538243626063	2.354355069014755
4	"N: 32"	37.115	3.848	79.104	33.177	9.645270270270272	2.38430237815354
5	"N: 64"	74.196	7.322	158.168	65.921	10.133296913411636	2.399356805873697
6	"N: 128"	148.356	14.257	316.295	131.404	10.405835729816932	2.4070424035798
7	"N: 256"	0	28.128	0	262.37	0.0	0.0
8	"N: 512"	0	55.87	0	524.303	0.0	0.0
9	"N: 1024"	0	111.353	0	1048.169	0.0	0.0
10	"N: 4096"	0	444.254	0	4191.365	0.0	0.0
