x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	5505.487	1543.475	2764.081	313.416	3.5669427752312157	8.819208336523982
2	"N: 8"	10934.739	1861.083	5685.67	342.579	5.8754708951723265	16.596668213755077
3	"N: 16"	21540.362	2575.175	10808.321	467.557	8.364620656848563	23.116584715874215
4	"N: 32"	43347.84	4416.479	22225.526	724.096	9.815022328873294	30.69417038624713
5	"N: 64"	86678.002	7413.833	44254.329	1270.662	11.691388516574355	34.82777402645235
6	"N: 128"	171363.485	13657.964	88857.028	2346.962	12.546781130774688	37.86044597228247
7	"N: 256"	0	26371.218	0	4875.943	0.0	0.0
8	"N: 512"	0	51521.974	0	8847.294	0.0	0.0
9	"N: 1024"	0	105615.849	0	17109.143	0.0	0.0
10	"N: 4096"	0	413207.802	0	67257.624	0.0	0.0
