x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	551.313	62.468	8031.093	745.838	8.825526669654863	10.767878547352106
2	"N: 8"	1074.223	67.396	15498.328	971.31	15.938972639325776	15.956108760333983
3	"N: 16"	2116.708	99.592	31895.03	1275.022	21.253795485581172	25.015278167749262
4	"N: 32"	4636.423	156.214	65122.487	2240.995	29.679945459433853	29.059630655133102
5	"N: 64"	9252.155	192.483	129940.995	3413.534	48.0673877693095	38.066412990173816
6	"N: 128"	15939.874	546.189	259871.57	6103.371	29.183806338099085	42.578366938532824
7	"N: 256"	0	1211.332	0	12280.499	0.0	0.0
8	"N: 512"	0	2177.604	0	25026.762	0.0	0.0
9	"N: 1024"	0	2666.573	0	51631.837	0.0	0.0
10	"N: 4096"	0	12130.338	0	204760.903	0.0	0.0
