x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	858.0	287.0	1041.0	302.0	2.989547038327526	3.447019867549669
2	"N: 8"	1718.0	373.0	2087.0	350.0	4.605898123324397	5.962857142857143
3	"N: 16"	3440.0	567.0	4164.0	455.0	6.067019400352733	9.151648351648351
4	"N: 32"	6833.0	937.0	8304.0	653.0	7.292422625400214	12.716692189892802
5	"N: 64"	13894.0	1703.0	16779.0	1054.0	8.158543746330006	15.919354838709678
6	"N: 128"	28145.0	3154.0	33276.0	1854.0	8.923589093214964	17.948220064724918
7	"N: 256"	54586.0	6172.0	66761.0	3469.0	8.844134802333118	19.245027385413664
8	"N: 512"	110166.0	12318.0	132100.0	6622.0	8.943497320993668	19.948655995167623
9	"N: 1024"	0	24529.0	0	13238.0	0.0	0.0
10	"N: 4096"	0	95900.0	0	52132.0	0.0	0.0
