x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	1279.101	844.662	668.021	225.462	1.51433472797403	2.9628984041656685
2	"N: 8"	2498.904	704.103	1273.513	316.644	3.5490602937354336	4.0219078839327445
3	"N: 16"	4603.077	1621.052	2513.396	292.208	2.839561593335686	8.601393527897935
4	"N: 32"	9232.775	2467.91	5060.612	500.098	3.7411311595641656	10.119240628836748
5	"N: 64"	17076.374	3014.754	9942.841	767.051	5.6642677976378835	12.962424923505738
6	"N: 128"	34299.41	4484.19	19893.977	1345.727	7.6489644729594435	14.783070414727502
7	"N: 256"	67660.896	9345.565	39773.031	2660.689	7.239893575187802	14.948395321662925
8	"N: 512"	137810.539	19056.868	80315.299	7707.677	7.23154187771044	10.42016926760164
9	"N: 1024"	0	35878.431	0	15875.816	0.0	0.0
10	"N: 4096"	0	138367.435	0	37800.888	0.0	0.0
