x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	129.509	49.59	1920.568	546.481	2.6115950796531555	3.514427766015653
2	"N: 8"	245.636	62.968	3718.165	622.488	3.900965569813238	5.973070966829882
3	"N: 16"	515.62	86.201	7428.328	868.649	5.98160114151808	8.551587580253935
4	"N: 32"	913.058	125.268	14993.316	1146.47	7.2888367340422135	13.077809275428054
5	"N: 64"	1886.019	246.346	30605.067	1741.077	7.655975741436841	17.578238641944036
6	"N: 128"	3657.055	442.332	59442.156	3753.224	8.2676699854408	15.83762546546649
7	"N: 256"	7432.568	879.831	121169.25	5540.214	8.447722346677942	21.870860945082626
8	"N: 512"	15189.603	1749.129	243921.649	10679.071	8.684095341166946	22.841092544473206
9	"N: 1024"	0	3870.135	0	20577.645	0.0	0.0
10	"N: 4096"	0	14367.633	0	105631.566	0.0	0.0
