x	"Benchmark"	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Biometric Matching"	118	2	139	4	59.0	34.75
2	"Biometric Matching (Fast)"	118	2	139	4	59.0	34.75
3	"Convex Hull"	39	0	39	0	0	0
4	"Count 102"	34	24	32	15	1.4166666666666667	2.1333333333333333
5	"Count 10s"	34	23	32	15	1.4782608695652173	2.1333333333333333
6	"Cryptonets (Max Pooling)"	45	0	50	1	0	50.0
7	"Database Join"	47	35	118	56	1.3428571428571427	2.107142857142857
8	"Database Variance"	134	24	145	13	5.583333333333333	11.153846153846153
9	"Histogram"	68	15	51	13	4.533333333333333	3.923076923076923
10	"Inner Product"	107	11	133	6	9.727272727272727	22.166666666666668
11	"k-means"	87	3	99	4	29.0	24.75
12	"Longest 102"	52	40	49	32	1.3	1.53125
13	"Max. Dist. b/w Symbols"	43	39	37	32	1.1025641025641026	1.15625
14	"Minimal Points"	31	0	26	0	0	0
15	"MNIST ReLU"	126	2	134	4	63.0	33.5
16	"Private Set Intersection"	59	2	95	3	29.5	31.666666666666668
