x	"Benchmark"	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Biometric Matching"	140.272	13.646	311.519	129.516	10.279349259856367	2.4052549491954665
2	"Convex Hull"	51.212	4.225	79.743	32.243	12.121183431952664	2.473187978786093
3	"Count 102"	52.05	34.466	91.664	58.706	1.510183949399408	1.5614076925697542
4	"Count 10s"	52.05	34.466	91.663	58.706	1.510183949399408	1.5613906585357542
5	"Cryptonets (Max Pooling)"	55.498	5.14	109.826	49.042	10.79727626459144	2.2394274295501813
6	"Database Join"	79.649	60.601	426.7	285.498	1.3143182455735054	1.4945813981183755
7	"Database Variance"	162.779	43.45	320.256	140.92	3.7463521288837742	2.2726085722395686
8	"Histogram"	97.373	22.624	135.157	67.687	4.303969236209336	1.9967940668075113
9	"Inner Product"	129.886	25.415	300.642	126.735	5.110603974031084	2.3722097289620074
10	"k-means"	108.22	12.496	225.388	94.853	8.660371318822023	2.3761820922901755
11	"Longest 102"	70.713	52.941	128.156	94.848	1.3356944523148409	1.3511724021592444
12	"Max. Dist. b/w Symbols"	57.088	51.288	88.897	78.028	1.1130868819216972	1.139296150099964
13	"Minimal Points"	36.694	3.018	39.862	16.183	12.158383035122599	2.46320212568745
14	"MNIST ReLU"	151.646	17.243	297.849	135.618	8.79464130371745	2.196235013051365
15	"Private Set Intersection"	103.512	8.393	302.425	121.67	12.333134755153102	2.4856168324155505
