x	"Benchmark"	"GMW"	"SD"	"GMW (Vectorized)"	"SD"	"BMR"	"SD"	"BMR (Vectorized)"	"SD"	"GMW Improvement"	"BMR Improvement"
1	"Biometric Matching"	16	0	3	0	264	2	12	0	5.333333333333333	22.0
2	"Biometric Matching (Fast)"	16	0	3	0	262	11	13	0	5.333333333333333	20.153846153846153
3	"Convex Hull"	5	0	1	0	71	0	2	0	5.0	35.5
4	"Count 102"	5	0	5	0	62	0	29	0	1.0	2.1379310344827585
5	"Count 10s"	5	1	4	0	61	1	29	0	1.25	2.103448275862069
6	"Cryptonets (Max Pooling)"	11	0	1	0	88	0	3	0	11.0	29.333333333333332
7	"Database Join"	7	0	6	0	229	6	111	3	1.1666666666666667	2.063063063063063
8	"Database Variance"	18	1	6	0	268	1	29	1	3.0	9.241379310344827
9	"Histogram"	9	0	4	0	94	1	17	0	2.25	5.529411764705882
10	"Inner Product"	14	0	4	0	250	3	18	0	3.5	13.88888888888889
11	"k-means"	11	0	2	0	184	1	10	0	5.5	18.4
12	"Longest 102"	7	1	6	0	92	0	59	0	1.1666666666666667	1.5593220338983051
13	"Max. Dist. b/w Symbols"	7	0	6	0	68	0	57	0	1.1666666666666667	1.1929824561403508
14	"Minimal Points"	4	0	0	0	46	0	1	0	0	46.0
15	"MNIST ReLU"	31	1	3	0	247	11	11	0	10.333333333333334	22.454545454545453
16	"Private Set Intersection"	8	0	2	0	186	2	8	0	4.0	23.25
