x	"Benchmark"	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	4.671	0.814	9.914	4.52	5.738329238329239	2.193362831858407
2	"N: 8"	9.305	1.242	19.786	8.598	7.49194847020934	2.301232844847639
3	"N: 16"	18.576	2.118	39.532	16.785	8.770538243626063	2.3551980935358947
4	"N: 32"	37.115	3.848	79.024	33.135	9.645270270270272	2.3849102157839144
5	"N: 64"	74.196	7.322	158.007	65.838	10.133296913411636	2.3999362070536776
6	"N: 128"	140.272	13.646	311.519	129.516	10.279349259856367	2.4052549491954665
7	"N: 256"	0	28.128	0	262.047	0.0	0.0
8	"N: 512"	0	55.87	0	523.66	0.0	0.0
9	"N: 1024"	0	111.353	0	1046.885	0.0	0.0
10	"N: 2048"	0	222.32	0	2093.336	0.0	0.0
11	"N: 4096"	0	423.787	0	4130.54	0.0	0.0
