x	"Benchmark"	"GMW"	"SD"	"GMW (Vectorized)"	"SD"	"BMR"	"SD"	"BMR (Vectorized)"	"SD"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	5	0	1	0	11	0	1	0	5.0	11.0
2	"N: 8"	11	0	1	0	22	0	1	0	11.0	22.0
3	"N: 16"	21	0	2	0	44	0	2	0	10.5	22.0
4	"N: 32"	43	0	4	0	89	0	4	0	10.75	22.25
5	"N: 64"	87	0	8	0	176	0	8	0	10.875	22.0
6	"N: 128"	162	0	15	0	351	11	15	0	10.8	23.4
7	"N: 256"	0	0	32	0	0	0	31	0	0.0	0.0
8	"N: 512"	0	0	62	0	0	0	60	1	0.0	0.0
9	"N: 1024"	0	0	126	1	0	0	116	0	0.0	0.0
10	"N: 2048"	0	0	248	1	0	0	231	3	0.0	0.0
11	"N: 4096"	0	0	483	2	0	0	465	12	0.0	0.0
