x	"Benchmark"	"GMW"	"SD"	"GMW (Vectorized)"	"SD"	"BMR"	"SD"	"BMR (Vectorized)"	"SD"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	4	0	0	0	2	0	0	0	0	0
2	"N: 8"	9	0	1	0	5	0	0	0	9.0	0
3	"N: 16"	19	0	1	0	11	0	0	0	19.0	0
4	"N: 32"	38	0	3	0	22	0	0	0	12.666666666666666	0
5	"N: 64"	78	1	6	0	44	0	1	0	13.0	44.0
6	"N: 128"	145	0	12	0	88	4	2	0	12.083333333333334	44.0
7	"N: 256"	0	0	25	0	0	0	4	0	0.0	0.0
8	"N: 512"	0	0	48	0	0	0	9	1	0.0	0.0
9	"N: 1024"	0	0	99	0	0	0	17	0	0.0	0.0
10	"N: 2048"	0	0	195	1	0	0	35	3	0.0	0.0
11	"N: 4096"	0	0	380	2	0	0	67	1	0.0	0.0
