x	"Benchmark"	"GMW"	"SD"	"GMW (Vectorized)"	"SD"	"BMR"	"SD"	"BMR (Vectorized)"	"SD"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	0	0	0	0	8	0	1	0	0	8.0
2	"N: 8"	1	0	0	0	16	0	1	0	0	16.0
3	"N: 16"	2	0	0	0	33	0	2	0	0	16.5
4	"N: 32"	4	0	1	0	66	0	3	0	4.0	22.0
5	"N: 64"	8	0	1	0	131	0	7	0	8.0	18.714285714285715
6	"N: 128"	16	0	3	0	262	11	13	0	5.333333333333333	20.153846153846153
7	"N: 256"	0	0	7	0	0	0	26	0	0.0	0.0
8	"N: 512"	0	0	13	0	0	0	51	1	0.0	0.0
9	"N: 1024"	0	0	27	0	0	0	99	2	0.0	0.0
10	"N: 2048"	0	0	53	1	0	0	196	5	0.0	0.0
11	"N: 4096"	0	0	102	1	0	0	397	13	0.0	0.0
