x	"Benchmark"	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	58586	5465	51450	4488	10.720219579139982	11.463903743315509
2	"N: 8"	117162	6377	102890	5304	18.372588991688882	19.398567119155356
3	"N: 16"	234314	8201	205770	6936	28.57139373247165	29.66695501730104
4	"N: 32"	468618	11849	411530	10200	39.54916026668917	40.34607843137255
5	"N: 64"	937226	19145	823050	16728	48.95408722904153	49.2019368723099
6	"N: 128"	1784467	34178	1594515	30078	52.210983673708235	53.012667065629365
7	"N: 256"	0	62921	0	55896	0.0	0.0
8	"N: 512"	0	121289	0	108120	0.0	0.0
9	"N: 1024"	0	238025	0	212568	0.0	0.0
10	"N: 2048"	0	471497	0	421464	0.0	0.0
11	"N: 4096"	0	942850	0	843518	0.0	0.0
