x	"Benchmark"	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	0.869	0.283	1.021	0.296	3.070671378091873	3.449324324324324
2	"N: 8"	1.695	0.373	2.061	0.345	4.544235924932976	5.9739130434782615
3	"N: 16"	3.398	0.548	4.129	0.445	6.200729927007299	9.278651685393257
4	"N: 32"	6.843	0.918	8.21	0.642	7.454248366013071	12.78816199376947
5	"N: 64"	13.49	1.657	16.396	1.027	8.141219070609536	15.964946445959106
6	"N: 128"	27.355	3.151	32.993	1.842	8.68137099333545	17.911509229098804
7	"N: 256"	54.972	6.172	64.861	3.4	8.906675307841867	19.076764705882354
8	"N: 512"	107.63	11.831	133.556	6.582	9.097286788944299	20.291096931024008
9	"N: 1024"	0	23.738	0	12.798	0.0	0.0
10	"N: 2048"	0	47.274	0	25.748	0.0	0.0
11	"N: 4096"	0	94.337	0	50.798	0.0	0.0
