x	"Benchmark"	"GMW"	"SD"	"GMW (Vectorized)"	"SD"	"BMR"	"SD"	"BMR (Vectorized)"	"SD"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	1	0	0	0	2	0	1	0	0	2.0
2	"N: 8"	2	0	1	0	5	0	1	0	2.0	5.0
3	"N: 16"	4	0	1	0	10	0	1	0	4.0	10.0
4	"N: 32"	9	0	1	0	21	0	2	0	9.0	10.5
5	"N: 64"	18	0	3	0	41	0	3	0	6.0	13.666666666666666
6	"N: 128"	35	0	5	0	83	0	6	0	7.0	13.833333333333334
7	"N: 256"	71	0	10	0	166	0	12	0	7.1	13.833333333333334
8	"N: 512"	141	1	21	0	333	3	23	0	6.714285714285714	14.478260869565217
9	"N: 1024"	0	0	40	0	0	0	45	1	0.0	0.0
10	"N: 2048"	0	0	80	1	0	0	88	0	0.0	0.0
11	"N: 4096"	0	0	163	1	0	0	175	1	0.0	0.0
