x	"Benchmark"	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Biometric Matching"	118.986	2.487	139.013	4.46	47.843184559710494	31.16883408071749
2	"Convex Hull"	39.955	0.431	39.43	0.884	92.7030162412993	44.60407239819004
3	"Count 102"	34.849	24.171	32.549	15.795	1.4417690620992096	2.060715416270972
4	"Count 10s"	34.695	23.83	32.59	15.893	1.455937893411666	2.050588309318568
5	"Cryptonets (Max Pooling)"	45.967	0.894	50.736	1.582	51.41722595078299	32.070796460176986
6	"Database Join"	47.74	35.417	118.869	56.7	1.347940254679956	2.0964550264550263
7	"Database Variance"	134.528	24.407	145.122	13.344	5.51186135125169	10.875449640287771
8	"Histogram"	68.245	15.923	51.34	13.247	4.285938579413427	3.8755944742205783
9	"Inner Product"	107.63	11.831	133.556	6.582	9.097286788944299	20.291096931024008
10	"k-means"	87.731	3.722	99.402	4.236	23.570929607737774	23.46600566572238
11	"Longest 102"	52.043	40.515	49.011	32.74	1.2845365913859064	1.496976175931582
12	"Max. Dist. b/w Symbols"	43.264	39.228	37.614	32.315	1.1028856938921179	1.1639795760482747
13	"Minimal Points"	31.052	0.158	26.369	0.352	196.53164556962025	74.91193181818183
14	"MNIST ReLU"	126.11	2.548	134.586	4.505	49.49372056514913	29.874805771365153
15	"Private Set Intersection"	59.449	2.126	95.799	3.579	27.962841015992474	26.766974015088014
