x	"Benchmark"	"GMW"	"SD"	"GMW (Vectorized)"	"SD"	"BMR"	"SD"	"BMR (Vectorized)"	"SD"	"GMW Improvement"	"BMR Improvement"
1	"Biometric Matching"	16.0899518	0.7981033642376685	3.5852978	0.2147690527885081	262.65228840000003	11.979296407120653	13.444994999999999	0.47900614309208556	4.487758813228848	19.53532064534052
2	"Convex Hull"	5.514204600000001	0.2651997589917359	1.2929766000000003	0.021578587967072658	71.7601574	0.5259274015762705	2.3799656	0.07657961826375177	4.264736577599316	30.151762445642074
3	"Count 102"	5.943732	0.7909236881187754	5.3373252	0.7247264043317415	62.43160280000001	0.6862691861501322	29.9818062	0.2854988805638165	1.1136162360876942	2.0823162681906737
4	"Count 10s"	5.711171600000002	1.0105477801476048	4.2333552	0.40452103411285534	61.960618600000004	1.05965745935024	29.4559366	0.20563396647187435	1.349088685022226	2.103501899851319
5	"Cryptonets (Max Pooling)"	11.015305399999999	0.437141228176811	1.4294517999999998	0.011548468453614966	88.74046999999999	0.5816733805266185	3.7723714	0.08883234868625689	7.705964902069451	23.523789306641437
6	"Database Join"	7.925009399999999	0.09514107115930989	6.322621999999999	0.061210220269894436	229.02220779999996	6.1736518121407515	111.89626700000001	3.726522140389563	1.253437165783436	2.0467368031142623
7	"Database Variance"	18.1559748	1.125239687142734	6.245378799999999	0.6698422053996438	268.6952918	1.4408359790345329	29.9414296	1.7739804944144661	2.907105458519186	8.974030144505859
8	"Histogram"	9.603618599999999	0.4941131432289006	4.6950164	0.2919594387546804	94.2329204	1.173039279891126	17.458129200000002	0.4924153985834954	2.0454920242664114	5.397652825252318
9	"Inner Product"	14.779539399999997	0.8999673692056055	4.9642202	0.4781677195725487	250.41696679999998	3.9562240351435842	18.2281512	0.9897105870998907	2.9772126949566013	13.737924600932649
10	"k-means"	11.981060800000002	0.3486541070124052	2.7747196	0.07592320478384329	184.79569240000004	1.6761365597004922	10.8042336	0.12234694027438536	4.317935693394029	17.10400748832384
11	"Longest 102"	7.1524342	1.2175073581388642	6.3634818	0.6647016520967421	92.9053196	0.9664465461528002	59.8496972	0.6482426777203077	1.1239812456130542	1.5523106038371068
12	"Max. Dist. b/w Symbols"	7.7471276	0.2331712479801232	6.6866014	0.2618796566817395	68.61500739999998	0.8989488275735764	57.492116800000005	0.4467531129089057	1.1586046687335063	1.193468099960445
13	"Minimal Points"	4.570445800000001	0.21678003304216906	0.9978652000000001	0.0067961737044213225	46.035427	0.3261050177154669	1.3418326	0.019134101127222553	4.580223661472512	34.307876407235895
14	"MNIST ReLU"	31.1551684	1.465057606310181	3.448383399999999	0.046466732899480945	247.4819056	11.50060563371514	11.298660400000001	0.09940348673753886	9.034717079313166	21.90365024158085
15	"Private Set Intersection"	8.5463874	0.3514406275354959	2.3215726	0.01672168643996913	186.43935360000003	2.039688439849575	8.1203184	0.14686489481663795	3.6812923274507976	22.959611238889355
