x	"Benchmark"	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	3.909	0.375	4.417	0.432	10.424	10.224537037037036
2	"N: 8"	7.719	0.451	8.92	0.571	17.11529933481153	15.621716287215413
3	"N: 16"	15.289	0.59	17.407	0.83	25.913559322033898	20.972289156626506
4	"N: 32"	31.269	0.857	35.607	1.39	36.48658109684948	25.61654676258993
5	"N: 64"	61.3	1.432	70.018	2.451	42.8072625698324	28.567115463076295
6	"N: 128"	118.986	2.487	139.013	4.46	47.843184559710494	31.16883408071749
7	"N: 256"	0	4.831	0	8.782	0.0	0.0
8	"N: 512"	0	9.288	0	16.985	0.0	0.0
9	"N: 1024"	0	18.265	0	34.216	0.0	0.0
10	"N: 2048"	0	35.877	0	68.149	0.0	0.0
11	"N: 4096"	0	69.502	0	132.314	0.0	0.0
