x	"Benchmark"	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	1.05	0.436	2.385	1.362	2.408256880733945	1.7511013215859028
2	"N: 8"	2.064	0.631	4.733	2.347	3.270998415213946	2.0166169578184916
3	"N: 16"	4.093	1.022	9.43	4.324	4.004892367906066	2.1808510638297873
4	"N: 32"	8.15	1.804	18.824	8.263	4.517738359201774	2.2781072249788217
5	"N: 64"	16.267	3.387	37.612	16.172	4.8027753173900205	2.3257482067771456
6	"N: 128"	32.498	6.534	75.188	31.967	4.973676155494337	2.352050552131886
7	"N: 256"	64.961	12.827	150.339	63.556	5.064395415919544	2.3654572345647935
8	"N: 512"	129.886	25.415	300.642	126.735	5.110603974031084	2.3722097289620074
9	"N: 1024"	0	50.59	0	253.093	0.0	0.0
10	"N: 2048"	0	100.941	0	505.808	0.0	0.0
11	"N: 4096"	0	201.641	0	1011.239	0.0	0.0
