x	"Benchmark"	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	13087	4188	11923	3456	3.1248806112702963	3.4499421296296298
2	"N: 8"	26171	5400	23843	4080	4.846481481481481	5.843872549019608
3	"N: 16"	52339	7824	47683	5328	6.689544989775051	8.949512012012011
4	"N: 32"	104675	12672	95363	7824	8.260337752525253	12.188522494887525
5	"N: 64"	209347	22368	190723	12816	9.35921852646638	14.881632334581774
6	"N: 128"	418691	41760	381443	22800	10.026125478927202	16.72995614035088
7	"N: 256"	837379	80544	762883	42768	10.396541021056814	17.837705761316872
8	"N: 512"	1674755	158112	1525763	82704	10.592206790123457	18.44847891274908
9	"N: 1024"	0	313248	0	162576	0.0	0.0
10	"N: 2048"	0	623520	0	322320	0.0	0.0
11	"N: 4096"	0	1244064	0	641808	0.0	0.0
